Timestamp,Pressure (kPa),Voltage (V),Vehicle State,Fault Type
28:15.8,20.17381337,1.034182315,Idle,Normal
37:27.1,55.76932192,3.358379804,Idle,Normal
45:54.5,27.41642349,2.288398144,Engine OFF,Normal
20:37.6,42.03474609,3.622078498,Idle,Normal
24:58.5,116.4978495,4.465925294,Engine OFF,Power Supply Issue
01:04.2,59.34529106,0.19618331,Throttle Release,Wiring Issue
21:29.1,116.0354928,4.361234391,Engine OFF,Power Supply Issue
03:16.3,67.45623753,5,Acceleration,Power Supply Issue
33:30.8,105.9736551,3.157242259,Engine OFF,Normal
42:31.8,15.84262785,2.942264066,Idle,Normal
30:08.0,108.2415941,4.031441189,Acceleration,Normal
27:03.3,114.1164504,4.000990272,Engine OFF,Normal
20:50.7,105.9870044,4.134964545,Wide Open Throttle,Normal
59:06.9,90.52133555,0,Acceleration,Wiring Issue
32:53.9,86.11685517,4.35271643,Acceleration,Normal
35:36.7,109.6927069,2.535251537,Engine OFF,Normal
20:11.2,88.94097452,3.0530921,Engine OFF,Normal
03:35.8,22.12692268,5,Throttle Release,Sensor Fault
02:01.2,82.67514787,0.356700521,Wide Open Throttle,Wiring Issue
27:56.3,60.32271558,3.572913039,Acceleration,Normal
18:17.0,71.55896053,4.367425889,Wide Open Throttle,Normal
33:35.4,53.52550757,1.813580233,Idle,Normal
21:30.0,28.07123082,1.413670878,Idle,Normal
31:16.3,62.18822855,0.789936478,Idle,Normal
26:25.1,74.572041,2.745095872,Acceleration,Normal
14:19.3,93.68121566,3.04614091,Engine OFF,Normal
03:33.1,99.93033926,5,Engine OFF,Power Supply Issue
45:08.8,58.56360547,3.115152095,Acceleration,Normal
04:34.2,20.01869853,0.035289066,Throttle Release,Sensor Fault
02:26.5,65.83381953,5,Acceleration,Power Supply Issue
18:57.6,71.21288831,1.959275833,Engine OFF,Normal
58:40.2,98.39021275,5,Wide Open Throttle,Power Supply Issue
06:11.1,67.87401141,5,Acceleration,Power Supply Issue
59:10.7,53.79504815,5,Throttle Release,Power Supply Issue
00:38.0,21.70022421,0.415124947,Throttle Release,Wiring Issue
28:21.7,21.77301519,2.312085267,Idle,Normal
22:20.7,52.30808109,2.341156481,Acceleration,Normal
27:41.0,84.54814747,4.96879853,Wide Open Throttle,Normal
12:34.2,108.692654,1.561027901,Idle,Normal
22:51.6,70.9807166,3.83607356,Acceleration,Normal
21:03.3,46.5516349,0.983777156,Idle,Normal
02:27.2,77.48761215,0,Acceleration,Wiring Issue
50:07.5,115.9899279,4.443185289,Engine OFF,Power Supply Issue
26:20.2,89.26150224,2.478081316,Engine OFF,Normal
13:24.1,71.10688033,2.652897262,Wide Open Throttle,Normal
37:33.7,17.56733985,0.106891351,Throttle Release,Wiring Issue
28:59.3,108.2345924,4.30441376,Wide Open Throttle,Normal
27:56.6,85.43877738,4.077172349,Wide Open Throttle,Normal
21:28.6,50.49324304,2.70460979,Acceleration,Normal
35:11.2,13.60125272,3.396143144,Throttle Release,Wiring Issue
52:37.6,40.83821744,0,Acceleration,Wiring Issue
19:28.7,97.36049394,3.920160658,Acceleration,Normal
02:10.2,62.88208415,4.495906429,Wide Open Throttle,Wiring Issue
58:52.4,106.0670409,5,Wide Open Throttle,Power Supply Issue
00:18.7,70.88842875,5,Acceleration,Power Supply Issue
22:04.0,33.29610748,4.290698529,Engine OFF,Wiring Issue
04:54.6,12.46047925,0.22351564,Acceleration,Wiring Issue
53:41.3,73.03174715,0,Wide Open Throttle,Wiring Issue
06:07.7,20.45577016,5,Throttle Release,Sensor Fault
25:22.7,95.045056,4.074597763,Acceleration,Normal
41:53.1,53.97676386,2.833506887,Idle,Normal
16:59.8,87.99941466,3.562709108,Wide Open Throttle,Normal
38:26.5,97.25268964,3.949511862,Wide Open Throttle,Normal
25:13.7,21.96636547,1.015709629,Idle,Normal
03:34.8,12.70706936,0.402300733,Throttle Release,Sensor Fault
04:09.1,90.28170286,4.901294746,Acceleration,Power Supply Issue
32:24.7,78.08251224,4.290102348,Wide Open Throttle,Normal
59:00.7,24.41881305,5,Wide Open Throttle,Power Supply Issue
30:04.6,105.9358689,3.178970775,Wide Open Throttle,Normal
04:57.9,19.80159745,4.777294085,Throttle Release,Sensor Fault
54:14.2,85.33016532,3.528747514,Wide Open Throttle,Normal
12:35.3,95.57334776,3.02089044,Wide Open Throttle,Normal
16:27.3,35.38479978,2.671459124,Idle,Normal
03:17.5,63.68180286,5,Acceleration,Power Supply Issue
15:19.2,14.0541977,1.790239861,Throttle Release,Wiring Issue
49:26.5,19.09203453,1.805171742,Idle,Normal
46:15.5,18.17462457,1.759547728,Idle,Normal
17:38.3,110.9961411,2.799746863,Wide Open Throttle,Normal
03:48.9,31.70495195,0.440983983,Throttle Release,Sensor Fault
01:54.7,20.92366952,5,Acceleration,Power Supply Issue
00:10.8,59.13490743,0,Acceleration,Wiring Issue
23:19.5,109.1546683,0.908289542,Engine OFF,Normal
19:14.6,34.15464629,0.621307658,Idle,Normal
29:17.0,6.200734356,1.313547475,Idle,Normal
32:25.5,40.94877073,2.642514543,Acceleration,Normal
20:34.5,109.5803255,3.986377218,Wide Open Throttle,Normal
01:21.9,77.72537306,0,Wide Open Throttle,Wiring Issue
57:17.4,7.051513785,0.124258401,Throttle Release,Wiring Issue
00:09.2,20.18582543,3.978655921,Engine OFF,Sensor Fault
44:06.5,109.4936386,5,Engine OFF,Power Supply Issue
25:43.4,12.32882325,0.949018918,Throttle Release,Power Supply Issue
51:05.4,15.41277378,0.981076443,Throttle Release,Normal
36:18.4,89.98543166,2.581404994,Acceleration,Normal
37:37.2,15.6796638,3.224643002,Idle,Normal
30:56.2,41.0161992,2.450610575,Acceleration,Normal
21:13.6,114.3766565,4.04302747,Engine OFF,Normal
28:25.9,26.33478801,0.42497804,Idle,Normal
19:14.0,21.12589465,1.295375289,Idle,Normal
04:20.9,12.01914756,5,Wide Open Throttle,Power Supply Issue
19:36.5,78.09161081,2.85233364,Acceleration,Normal
01:56.0,72.70113175,5,Acceleration,Power Supply Issue
45:31.5,61.68711936,1.031597847,Acceleration,Normal
25:38.0,109.3999761,3.386094895,Engine OFF,Normal
03:40.1,97.36335406,0,Engine OFF,Wiring Issue
03:07.7,21.76474109,0.539522167,Throttle Release,Sensor Fault
42:25.3,28.10984774,1.682002469,Idle,Normal
15:11.5,55.45442082,1.64660533,Engine OFF,Normal
29:59.0,36.62579212,2.966202304,Engine OFF,Normal
17:59.8,51.23080943,2.195239744,Idle,Normal
13:46.1,81.59871833,0.906141637,Acceleration,Normal
15:43.5,85.90418916,2.07555409,Engine OFF,Normal
26:25.7,69.57898019,3.049583075,Acceleration,Normal
17:28.7,100.791932,4.253685878,Engine OFF,Power Supply Issue
21:59.0,82.8070051,2.557480632,Acceleration,Normal
22:14.3,26.58198718,0.766431539,Idle,Normal
25:59.8,106.8354805,4.342928554,Wide Open Throttle,Normal
01:09.6,28.18588116,0.156035367,Acceleration,Wiring Issue
03:19.3,70.92251873,0,Wide Open Throttle,Wiring Issue
36:40.2,15.93511037,0.116128442,Throttle Release,Normal
45:13.8,108.905537,3.231791715,Engine OFF,Normal
00:23.0,61.09440792,5,Wide Open Throttle,Power Supply Issue
58:04.9,20.22778356,1.15714567,Throttle Release,Normal
14:47.3,9.733743145,1.144217985,Throttle Release,Normal
12:49.7,35.4905007,1.824797251,Idle,Normal
56:03.3,80.5449422,5,Engine OFF,Power Supply Issue
53:56.1,105.8205142,5,Engine OFF,Normal
33:58.4,66.10289472,2.634288309,Acceleration,Normal
02:37.1,114.9599844,5,Engine OFF,Power Supply Issue
37:00.7,64.18053497,3.12204633,Acceleration,Normal
58:41.1,104.0851961,3.909211956,Engine OFF,Normal
02:53.0,34.90395429,5,Idle,Power Supply Issue
36:47.5,81.78051761,2.314838116,Acceleration,Normal
13:46.2,115.1249141,0.546375998,Engine OFF,Normal
29:34.3,61.47009394,2.339108428,Acceleration,Normal
59:36.8,19.9940747,0.785300317,Throttle Release,Sensor Fault
22:29.6,39.62063768,3.616000708,Idle,Normal
39:12.1,70.78626032,3.621283873,Acceleration,Normal
03:40.4,102.9691607,0.15716438,Acceleration,Wiring Issue
23:04.4,44.33115088,4.739253548,Acceleration,Normal
41:52.2,47.49798904,1.145145552,Idle,Normal
56:09.0,97.16129044,4.052255561,Engine OFF,Normal
00:27.2,84.83804898,1.934930522,Wide Open Throttle,Normal
02:40.2,16.57492397,0,Throttle Release,Sensor Fault
21:28.5,88.08110614,4.798814888,Wide Open Throttle,Normal
31:29.3,36.44909032,1.846958409,Acceleration,Normal
28:39.2,16.15320148,3.034727871,Throttle Release,Wiring Issue
50:04.6,13.18239088,0.510113068,Throttle Release,Normal
49:45.9,90.57298263,4.345952221,Acceleration,Normal
46:14.3,18.66439611,1.208001439,Throttle Release,Wiring Issue
02:02.9,64.18284974,0.175432353,Throttle Release,Wiring Issue
47:55.4,34.76900369,3.762905422,Acceleration,Normal
58:13.5,67.93804485,0,Wide Open Throttle,Wiring Issue
22:06.5,112.233246,2.045095791,Engine OFF,Normal
18:55.9,32.03981596,0.923972856,Idle,Normal
57:14.6,94.96146312,3.250961886,Idle,Normal
59:51.5,67.81298714,0.506032664,Wide Open Throttle,Wiring Issue
40:42.3,27.55353422,3.808452003,Acceleration,Normal
35:05.6,101.4212203,1.904333369,Wide Open Throttle,Normal
18:19.4,11.42612781,1.386917848,Throttle Release,Normal
06:00.6,15.03891614,4.590590597,Throttle Release,Sensor Fault
57:11.3,108.4382626,5,Engine OFF,Power Supply Issue
06:11.1,14.86020338,0.36107002,Throttle Release,Sensor Fault
39:40.4,100.4242272,4.005847663,Wide Open Throttle,Normal
14:30.1,13.26863166,1.700634724,Idle,Normal
57:31.5,85.92343698,0,Acceleration,Wiring Issue
03:52.6,63.8636133,5,Acceleration,Power Supply Issue
30:34.4,119.0003663,3.624101489,Wide Open Throttle,Normal
36:21.5,61.52851092,2.827740102,Wide Open Throttle,Normal
42:46.0,45.07296962,1.455494867,Idle,Normal
26:51.7,111.978023,3.214052546,Engine OFF,Normal
14:01.9,32.43256839,0.582008192,Engine OFF,Normal
33:07.0,102.0500936,3.038238021,Engine OFF,Normal
01:26.4,21.90819051,0,Throttle Release,Wiring Issue
28:56.2,104.2279436,2.036576686,Acceleration,Normal
42:42.7,11.71411271,0.503962661,Throttle Release,Power Supply Issue
59:29.4,67.96132622,0.123831466,Throttle Release,Wiring Issue
20:12.5,33.25301816,1.281468853,Idle,Normal
00:02.3,82.60561913,5,Acceleration,Power Supply Issue
02:21.0,75.84217207,0.086358729,Throttle Release,Sensor Fault
44:57.8,107.1562501,5,Acceleration,Power Supply Issue
25:01.1,24.88680098,1.060706158,Idle,Normal
16:52.1,82.57033215,2.135717622,Acceleration,Normal
29:26.0,44.23008775,1.28066505,Idle,Normal
00:05.2,71.38896177,5,Acceleration,Power Supply Issue
15:51.8,4.96385746,1.129005282,Throttle Release,Wiring Issue
01:21.5,46.12624027,0,Acceleration,Wiring Issue
27:42.3,46.27896097,1.386693582,Idle,Normal
13:35.0,23.82572966,3.344900188,Throttle Release,Normal
26:11.6,72.4951664,3.265300127,Acceleration,Normal
02:13.2,58.0793156,5,Wide Open Throttle,Power Supply Issue
14:13.9,119.0413132,4.484737267,Engine OFF,Power Supply Issue
12:26.7,40.07359691,2.006008341,Idle,Normal
32:01.6,36.64708339,1.915493659,Idle,Normal
19:18.4,114.4671631,5,Wide Open Throttle,Normal
40:49.2,70.37444969,3.710643107,Idle,Normal
25:17.6,106.9100286,2.787396177,Acceleration,Normal
59:07.5,14.61431968,0,Throttle Release,Wiring Issue
02:13.2,87.80198171,0.053721471,Engine OFF,Wiring Issue
01:16.4,15.69409366,0.45509288,Throttle Release,Sensor Fault
23:37.8,113.6136638,4.260381078,Engine OFF,Power Supply Issue
00:17.2,73.77016522,3.700165116,Acceleration,Power Supply Issue
18:21.0,115.1266135,4.623300398,Wide Open Throttle,Normal
00:28.2,115.2292499,3.678395488,Engine OFF,Power Supply Issue
22:38.4,103.4919753,0.323207459,Throttle Release,Wiring Issue
35:08.1,12.56194357,2.434913937,Throttle Release,Normal
00:54.9,76.22361398,5,Idle,Power Supply Issue
14:49.5,19.7655388,1.165582181,Throttle Release,Normal
02:51.1,15.8534597,0.231515967,Throttle Release,Sensor Fault
28:38.9,102.2120124,2.954687958,Engine OFF,Normal
23:59.1,98.29427166,3.530379115,Wide Open Throttle,Normal
15:44.3,97.45742732,3.602524766,Throttle Release,Normal
57:12.8,81.60472948,0,Wide Open Throttle,Wiring Issue
17:24.5,8.969896275,1.712049647,Idle,Power Supply Issue
59:29.4,113.8388496,4.036456916,Engine OFF,Sensor Fault
29:51.0,71.31209148,2.561910801,Acceleration,Normal
02:27.7,117.3559965,4.21448048,Engine OFF,Power Supply Issue
31:56.4,112.3704264,2.62062066,Engine OFF,Normal
02:35.6,81.52434944,5,Acceleration,Power Supply Issue
54:13.8,45.13048933,4.390708393,Acceleration,Normal
20:19.9,102.7912555,1.535926868,Engine OFF,Normal
35:41.5,71.56438267,1.862128709,Acceleration,Normal
24:58.1,113.7372332,2.063533505,Engine OFF,Normal
52:40.0,114.4103171,4.330168855,Engine OFF,Power Supply Issue
02:08.8,9.563349413,0.888509706,Throttle Release,Power Supply Issue
26:50.2,11.67898266,0.168732972,Throttle Release,Wiring Issue
33:26.2,16.41581697,0.362978978,Throttle Release,Normal
31:37.4,108.983631,4.255262408,Engine OFF,Sensor Fault
45:48.0,27.8533306,4.121726567,Engine OFF,Sensor Fault
58:03.9,91.03629196,0.094219422,Wide Open Throttle,Wiring Issue
47:18.7,36.40163451,2.125924609,Acceleration,Normal
04:41.3,40.57486823,0,Acceleration,Wiring Issue
19:32.1,114.4448976,4.030596445,Engine OFF,Normal
01:10.3,85.27016568,0,Acceleration,Wiring Issue
37:28.4,74.54461203,3.618663764,Wide Open Throttle,Normal
37:24.5,69.94456446,3.477529178,Acceleration,Normal
56:19.9,15.16783468,4.567237149,Throttle Release,Sensor Fault
01:18.9,72.09595933,0,Acceleration,Wiring Issue
32:16.9,44.18220155,1.466374464,Idle,Normal
57:54.0,80.13546382,0,Engine OFF,Wiring Issue
03:39.2,72.19386436,5,Wide Open Throttle,Power Supply Issue
18:52.5,44.71205765,1.721357577,Idle,Normal
44:00.7,15.33406567,0.093286979,Throttle Release,Wiring Issue
01:36.3,51.18942807,5,Acceleration,Power Supply Issue
03:06.0,23.09832031,0.470917241,Throttle Release,Sensor Fault
16:01.1,88.66967636,0.925968063,Acceleration,Normal
00:04.6,77.3719004,0,Acceleration,Wiring Issue
53:50.5,103.5070425,3.97765135,Engine OFF,Normal
25:33.5,16.23385016,0.243873035,Throttle Release,Normal
25:33.5,15.06156356,0.683923096,Throttle Release,Power Supply Issue
25:25.2,112.2990043,3.8617552,Engine OFF,Wiring Issue
59:35.2,14.08433263,5,Throttle Release,Sensor Fault
58:45.5,12.20548929,0.024142046,Throttle Release,Sensor Fault
32:29.2,103.9739706,4.212828839,Engine OFF,Power Supply Issue
00:42.2,59.20303515,0,Acceleration,Wiring Issue
03:00.1,11.04866851,0.776932311,Throttle Release,Sensor Fault
44:12.7,59.89994181,3.464049028,Acceleration,Normal
44:57.9,105.2441833,4.242431636,Engine OFF,Normal
30:10.6,20.51506169,0.737472535,Throttle Release,Wiring Issue
48:09.5,52.30179292,1.729526904,Acceleration,Normal
30:33.8,30.30082498,1.77048207,Acceleration,Normal
30:23.0,89.34136528,4.14086786,Wide Open Throttle,Normal
00:53.2,11.73997656,0.594720382,Throttle Release,Wiring Issue
13:33.0,102.3726208,2.771056795,Wide Open Throttle,Normal
56:43.0,119.0413132,3.741449268,Engine OFF,Normal
14:04.7,50.47747634,2.346794635,Idle,Normal
18:22.4,109.7197895,3.368665286,Engine OFF,Normal
04:47.0,64.01563497,0.279402362,Wide Open Throttle,Wiring Issue
32:18.2,108.0489057,2.32020075,Engine OFF,Normal
55:10.7,63.11530373,0.316797225,Wide Open Throttle,Wiring Issue
12:23.1,115.3113141,3.816450354,Engine OFF,Sensor Fault
41:37.4,59.75876831,4.347849082,Wide Open Throttle,Normal
01:23.0,63.94973711,0,Wide Open Throttle,Wiring Issue
00:24.6,101.4492822,0.523627204,Wide Open Throttle,Wiring Issue
42:25.2,46.75325699,1.662298311,Idle,Normal
26:41.9,60.79301784,1.153830602,Idle,Normal
22:00.6,35.62446402,2.464877865,Idle,Normal
51:58.4,96.51899461,4.944634122,Wide Open Throttle,Normal
16:52.9,54.56108278,2.117300174,Engine OFF,Normal
12:38.7,113.8267558,3.363785314,Engine OFF,Normal
00:44.4,52.35345846,5,Acceleration,Power Supply Issue
34:50.9,96.37603569,3.140348306,Acceleration,Normal
58:44.6,92.32023814,0.0884451,Acceleration,Wiring Issue
19:20.9,73.37660887,2.588695615,Engine OFF,Normal
20:58.2,55.19861036,1.088137107,Acceleration,Normal
15:48.1,100.3958484,3.869000556,Wide Open Throttle,Normal
18:21.0,41.34551979,1.797009349,Acceleration,Power Supply Issue
03:34.2,14.66209531,0.262817247,Throttle Release,Sensor Fault
02:05.4,95.10694756,5,Engine OFF,Power Supply Issue
58:27.5,60.38043739,5,Acceleration,Power Supply Issue
01:51.2,47.68096915,1.947409066,Acceleration,Wiring Issue
33:45.7,78.48174637,4.016693159,Wide Open Throttle,Normal
04:48.4,12.2243549,0.276862186,Throttle Release,Sensor Fault
00:54.7,16.17162618,5,Acceleration,Power Supply Issue
43:25.8,12.17522236,0,Throttle Release,Wiring Issue
24:09.2,50.05726769,2.316957008,Acceleration,Normal
22:04.3,76.94501195,2.764043172,Acceleration,Normal
31:17.3,34.44870816,3.80385265,Acceleration,Normal
04:02.9,22.12025787,0.754268978,Throttle Release,Sensor Fault
16:15.7,95.71977054,2.879044512,Acceleration,Normal
01:06.7,57.03709616,5,Acceleration,Power Supply Issue
05:31.9,114.6285739,0.309905584,Acceleration,Wiring Issue
58:02.3,72.97846547,3.543727214,Acceleration,Normal
50:01.3,107.0945609,4.538155875,Wide Open Throttle,Normal
57:03.1,63.36241572,5,Engine OFF,Power Supply Issue
59:53.1,98.17656053,5,Wide Open Throttle,Power Supply Issue
18:42.0,83.05629694,4.934241659,Wide Open Throttle,Normal
34:05.9,110.941052,4.178076076,Engine OFF,Normal
37:25.0,24.61750284,0.596846256,Throttle Release,Normal
03:27.9,78.17920346,0.089115733,Acceleration,Wiring Issue
41:21.6,78.8765784,4.016497418,Acceleration,Normal
34:45.0,12.14947073,0.191709719,Throttle Release,Wiring Issue
52:04.6,53.8270796,1.211854299,Idle,Normal
17:40.0,23.77217642,2.959948613,Wide Open Throttle,Normal
59:52.3,15.64743933,0.979263853,Throttle Release,Wiring Issue
00:25.8,62.42288255,0,Wide Open Throttle,Wiring Issue
18:43.6,41.83132753,1.751523914,Idle,Normal
57:16.6,73.51828281,5,Wide Open Throttle,Power Supply Issue
00:36.0,33.22080837,5,Acceleration,Power Supply Issue
59:34.0,55.64277161,5,Acceleration,Power Supply Issue
47:40.4,46.81576221,1.262941954,Throttle Release,Normal
56:43.7,45.78302037,3.445640017,Acceleration,Power Supply Issue
35:16.0,15.14420827,1.022377073,Throttle Release,Wiring Issue
04:00.1,15.43062214,0,Throttle Release,Sensor Fault
26:32.8,103.293564,4.094025452,Engine OFF,Sensor Fault
58:21.7,85.37686939,4.070483713,Wide Open Throttle,Normal
59:46.0,77.75600693,0,Throttle Release,Wiring Issue
59:25.0,84.13600911,0.250189418,Wide Open Throttle,Wiring Issue
40:43.7,50.69309581,3.621262058,Idle,Normal
54:38.7,11.055613,0.015821884,Throttle Release,Wiring Issue
59:13.1,18.7805525,0.033369306,Throttle Release,Sensor Fault
03:21.9,110.5572586,5,Acceleration,Power Supply Issue
15:47.1,30.32391,1.346606414,Idle,Normal
02:20.4,111.78171,0.261157915,Engine OFF,Sensor Fault
28:55.5,39.51545732,2.044928553,Acceleration,Normal
54:45.5,17.21294383,1.481937628,Throttle Release,Wiring Issue
41:08.8,114.0917158,4.412730251,Engine OFF,Wiring Issue
59:52.6,101.2824952,0,Throttle Release,Wiring Issue
31:32.9,110.3964561,4.308597296,Wide Open Throttle,Normal
59:11.4,18.13412116,0.151651845,Throttle Release,Wiring Issue
20:41.4,42.4485458,1.49693017,Idle,Normal
